date,price
2019-05-25,599.0
2019-05-26,599.0
2019-05-27,599.0
2019-05-28,599.0
2019-05-29,599.0
2019-05-30,599.0
2019-05-31,578.0
2019-06-01,578.0
2019-06-02,521.0
2019-06-03,521.0
2019-06-04,521.0
2019-06-05,521.0
2019-06-06,599.0
2019-06-07,599.0
2019-06-08,521.0
2019-06-09,599.0
2019-06-10,599.0
2019-06-11,599.0
2019-06-12,599.0
2019-06-13,599.0
2019-06-14,599.0
2019-06-15,599.0
2019-06-16,599.0
2019-06-17,599.0
2019-06-18,599.0
2019-06-19,599.0
2019-06-20,599.0
2019-06-21,599.0
2019-06-22,599.0
2019-06-23,599.0
2019-06-24,599.0
2019-06-25,599.0
2019-06-26,599.0
2019-06-27,599.0
2019-06-28,599.0
2019-06-29,599.0
2019-06-30,599.0
2019-07-01,599.0
2019-07-02,599.0
2019-07-03,599.0
2019-07-04,599.0
2019-07-05,599.0
2019-07-06,495.0
2019-07-07,495.0
2019-07-08,495.0
2019-07-09,599.0
2019-07-10,487.0
2019-07-11,487.0
2019-07-12,556.0
2019-07-13,487.0
2019-07-14,487.0
2019-07-15,556.0
2019-07-16,556.0
2019-08-06,589.0
2019-08-07,589.0
2019-08-08,589.0
2019-08-09,589.0
2019-08-10,582.0
2019-08-11,571.0
2019-08-12,571.0
2019-08-13,571.0
2019-08-15,571.0
2019-08-16,571.0
2019-08-17,571.0
2019-08-19,489.0
2019-08-20,560.0
2019-08-21,489.0
2019-08-22,489.0
2019-08-23,489.0
2019-08-24,489.0
2019-08-25,489.0
2019-08-26,489.0
2019-08-27,474.0
2019-08-28,474.0
2019-08-29,474.0
2019-08-30,474.0
2019-08-31,473.0
2019-09-01,474.0
2019-09-02,475.0
2019-09-03,422.0
2019-09-04,422.0
2019-09-05,535.0
2019-09-06,475.0
2019-09-07,475.0
2019-09-08,478.0
2019-09-09,557.0
2019-09-10,557.0
2019-09-11,557.0
2019-09-12,557.0
2019-09-13,557.0
2019-09-14,557.0
2019-09-15,597.0
2019-09-16,597.0
2019-09-17,597.0
2019-09-18,549.0
2019-09-19,480.0
2019-09-20,481.0
2019-09-21,468.0
2019-09-22,464.0
2019-09-23,464.0
2019-09-24,464.0
2019-09-25,464.0
2019-09-26,464.0
2019-09-27,550.0
2019-09-28,575.0
2019-09-29,575.0
2019-09-30,575.0
2019-10-01,575.0
2019-10-02,575.0
2019-10-03,602.0
2019-10-04,602.0
2019-10-05,602.0
2019-10-06,602.0
2019-10-07,468.0
