date,price
2017-05-19,13.6
2017-05-20,13.6
2017-05-23,13.6
2017-05-24,13.6
2017-05-25,13.6
2017-05-26,13.6
2017-05-27,13.6
2017-05-28,13.6
2017-05-29,13.6
2017-05-30,13.6
2017-05-31,13.6
2017-06-01,13.6
2017-06-02,13.6
2017-06-03,13.6
2017-06-05,13.6
2017-06-06,13.6
2017-06-07,13.6
2017-06-08,13.6
2017-06-09,13.6
2017-06-10,13.6
2017-06-11,13.6
2017-06-12,13.6
2017-06-13,13.6
2017-06-14,13.6
2017-06-15,13.6
2017-06-16,13.6
2017-06-17,13.6
2017-06-18,13.6
2017-06-19,13.6
2017-06-20,13.6
2017-06-21,13.6
2017-06-22,13.6
2017-06-23,13.6
2017-06-24,13.6
2017-06-25,13.6
2017-06-26,13.6
2017-06-27,13.6
2017-06-28,13.6
2017-06-29,13.6
2017-06-30,13.6
2017-07-01,13.6
2017-07-02,13.6
2017-07-03,13.6
2017-07-04,13.6
2017-07-05,13.6
2017-07-06,13.6
2017-07-07,13.6
2017-07-08,13.6
2017-07-09,13.6
2017-07-10,13.6
2017-07-11,13.6
2017-07-12,13.6
2017-07-13,13.6
2017-07-14,13.6
2017-07-15,13.6
2017-07-16,13.6
2017-07-17,13.6
2017-07-18,13.6
2017-07-19,13.6
2017-07-20,13.6
2017-07-21,13.6
2017-07-22,13.6
2017-07-23,13.6
2017-07-24,19.9
2017-07-25,19.9
2017-07-26,19.9
2017-07-27,19.9
2017-07-28,19.9
2017-07-29,19.9
2017-07-30,19.9
2017-07-31,19.9
