date,price
2017-05-23,15.9
2017-05-24,15.9
2017-05-25,15.9
2017-05-26,15.9
2017-05-27,15.9
2017-05-28,15.9
2017-05-29,15.9
2017-05-30,15.9
2017-05-31,15.9
2017-06-01,15.9
2017-06-02,15.9
2017-06-03,15.9
2017-06-05,15.9
2017-06-06,15.9
2017-06-07,15.9
2017-06-08,15.9
2017-06-09,15.9
2017-06-10,15.9
2017-06-11,15.9
2017-06-12,15.9
2017-06-13,15.9
2017-06-14,15.9
2017-06-15,15.9
2017-06-16,15.9
2017-06-17,15.9
2017-06-18,15.9
2017-06-19,15.9
2017-06-20,15.9
2017-06-21,15.9
2017-06-22,15.9
2017-06-23,15.9
2017-06-24,15.9
2017-06-25,15.9
2017-06-26,15.9
2017-06-27,15.9
2017-06-28,15.9
2017-06-29,15.9
2017-06-30,15.9
2017-07-01,15.9
2017-07-02,15.9
2017-07-03,15.9
2017-07-04,15.9
2017-07-05,15.9
2017-07-06,15.9
2017-07-07,15.9
2017-07-08,15.9
2017-07-09,15.9
2017-07-10,15.9
2017-07-11,15.9
2017-07-12,15.9
2017-07-13,15.9
2017-07-14,15.9
2017-07-15,15.9
2017-07-16,15.9
2017-07-17,15.9
2017-07-18,15.9
2017-07-19,15.9
2017-07-20,15.9
2017-07-21,15.9
2017-07-22,15.9
2017-07-23,15.9
2017-07-24,15.9
2017-07-25,15.9
2017-07-26,15.9
2017-07-29,15.9
2017-07-30,15.9
2017-07-31,15.9
2017-08-01,15.9
2017-08-02,15.9
2017-08-03,15.9
2017-08-04,15.9
2017-08-05,15.9
2017-08-18,15.9
2017-08-19,15.9
2017-08-20,15.9
2017-08-21,15.9
2017-10-10,15.9
2017-10-11,15.9
2017-10-12,15.9
2017-10-13,15.9
2017-10-14,15.9
2017-10-15,15.9
2017-10-16,15.9
2017-10-17,15.9
2017-10-18,15.9
2017-10-19,15.9
2017-10-20,15.9
2017-10-21,15.9
2017-10-22,15.9
2017-10-23,15.9
2017-10-24,15.9
2017-10-25,15.9
2017-10-26,15.9
2017-10-27,15.9
2017-10-28,15.9
2017-10-29,15.9
2017-10-30,15.9
2017-10-31,15.9
2017-11-01,15.9
2017-11-02,15.9
2017-11-03,15.9
2017-11-04,15.9
2017-11-05,15.9
2017-11-06,15.9
2017-11-07,15.9
2017-11-09,15.9
2017-11-10,15.9
2017-11-11,15.9
2017-11-12,15.9
2017-11-13,15.9
2017-11-14,15.9
2017-11-15,15.9
2017-11-17,15.9
2017-11-18,15.9
2017-11-19,15.9
2017-11-20,15.9
2017-11-21,15.9
2017-11-22,15.9
2017-11-23,15.9
2017-11-24,15.9
2017-11-25,15.9
2017-11-26,15.9
2017-11-27,15.9
2017-11-28,15.9
2017-11-29,15.9
2017-12-01,15.9
2017-12-02,15.9
2017-12-03,15.9
2017-12-04,15.9
2017-12-06,15.9
2017-12-07,15.9
2017-12-08,15.9
2017-12-09,15.9
2017-12-10,15.9
2017-12-11,15.9
2017-12-12,15.9
2017-12-13,15.9
2017-12-14,15.9
2017-12-15,15.9
2017-12-16,15.9
2017-12-17,15.9
2017-12-18,15.9
2017-12-19,15.9
2017-12-20,15.9
2017-12-21,15.9
2017-12-22,15.9
2017-12-23,15.9
2017-12-24,15.9
2017-12-25,15.9
2017-12-26,15.9
2017-12-27,15.9
2017-12-28,15.9
2017-12-29,15.9
2017-12-30,15.9
2017-12-31,15.9
2018-01-01,15.9
2018-01-02,15.9
2018-01-03,15.9
2018-01-04,15.9
2018-01-05,15.9
2018-01-06,15.9
2018-01-07,15.9
2018-01-08,15.9
2018-01-09,15.9
2018-01-10,15.9
2018-04-12,0.0
2018-04-13,0.0
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,0.0
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,0.0
2018-04-20,0.0
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,0.0
2018-04-24,0.0
2018-04-25,0.0
2018-04-27,0.0
2018-04-28,0.0
2018-04-29,0.0
2018-04-30,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,0.0
2018-05-05,0.0
2018-05-06,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,0.0
2018-05-15,0.0
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,0.0
2018-05-30,0.0
2018-05-31,0.0
2018-06-01,0.0
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,0.0
2018-06-08,0.0
2018-06-09,0.0
2018-06-10,0.0
2018-06-11,0.0
2018-06-12,0.0
2018-06-13,0.0
2018-06-14,0.0
2018-06-15,0.0
2018-06-16,0.0
2018-06-17,0.0
2018-06-18,18.8
2018-06-19,0.0
2018-06-20,0.0
2018-06-21,0.0
2018-06-22,0.0
2018-06-23,0.0
2018-06-24,0.0
2018-06-25,0.0
2018-06-26,0.0
2018-06-27,0.0
2018-06-28,0.0
2018-06-29,0.0
2018-07-01,0.0
2018-07-02,0.0
2018-07-03,0.0
2018-07-04,0.0
2018-07-05,0.0
2018-07-06,0.0
2018-07-07,0.0
2018-07-08,0.0
2018-07-09,0.0
2018-07-10,0.0
2018-07-11,0.0
2018-07-12,0.0
2018-07-13,0.0
2018-07-14,0.0
2018-07-15,0.0
