date,price
2017-05-19,135.0
2017-05-20,135.0
2017-05-23,104.0
2017-05-24,104.0
2017-05-25,104.0
2017-05-26,104.0
2017-05-27,104.0
2017-05-28,104.0
2017-05-29,104.0
2017-05-30,104.0
2017-05-31,104.0
2017-06-01,104.0
2017-06-02,104.0
2017-06-03,104.0
2017-06-05,104.0
2017-06-06,104.0
2017-06-07,104.0
2017-06-08,104.0
2017-06-09,104.0
2017-06-10,104.0
2017-06-11,104.0
2017-06-12,104.0
2017-06-13,104.0
2017-06-14,104.0
2017-06-15,104.0
2017-06-16,104.0
2017-06-17,104.0
2017-06-18,104.0
2017-06-19,104.0
2017-06-20,104.0
2017-06-21,104.0
2017-06-22,104.0
2017-06-23,104.0
2017-06-24,104.0
2017-06-25,104.0
2017-06-26,104.0
2017-06-27,104.0
2017-06-28,104.0
2017-06-29,104.0
2017-06-30,104.0
2017-07-01,104.0
2017-07-02,104.0
2017-07-03,104.0
2017-07-04,104.0
2017-07-05,104.0
2017-07-06,104.0
2017-07-07,104.0
2017-07-08,104.0
2017-07-09,104.0
2017-07-10,104.0
2017-07-11,104.0
2017-07-12,104.0
2017-07-13,104.0
2017-07-14,104.0
2017-07-15,104.0
2017-07-16,104.0
2017-07-17,104.0
2017-07-18,104.0
2017-07-19,104.0
2017-07-20,104.0
2017-07-21,104.0
2017-07-22,104.0
2017-07-23,104.0
2017-07-24,104.0
2017-07-25,104.0
2017-07-26,104.0
2017-07-27,104.0
2017-07-29,71.2
2017-07-30,71.2
2017-07-31,71.2
2017-08-01,71.2
2017-08-02,71.2
2017-08-03,71.2
2017-08-04,71.2
2017-08-05,71.2
2017-08-18,71.2
2017-08-19,71.2
2017-08-20,71.2
2017-08-21,71.2
2017-10-10,71.2
2017-10-11,71.2
2017-10-12,71.2
2017-10-13,71.2
2017-10-14,71.2
2017-10-15,71.2
2017-10-16,71.2
2017-10-17,71.2
2017-10-18,71.2
2017-10-19,71.2
2017-10-20,71.2
2017-10-21,71.2
2017-10-22,71.2
2017-10-23,71.2
2017-10-24,71.2
2017-10-25,71.2
2017-10-26,71.2
2017-10-27,71.2
2017-10-28,71.2
2017-10-29,71.2
2017-10-30,71.2
2017-10-31,71.2
2017-11-01,71.2
2017-11-02,71.2
2017-11-03,71.2
2017-11-04,71.2
2017-11-05,71.2
2017-11-06,71.2
2017-11-07,71.2
2017-11-08,71.2
2017-11-09,71.2
2017-11-10,71.2
2017-11-11,71.2
2017-11-12,71.2
2017-11-13,71.2
2017-11-14,71.2
2017-11-15,71.2
2017-11-17,71.2
2017-11-18,71.2
2017-11-19,71.2
2017-11-20,71.2
2017-11-21,71.2
2017-11-22,71.2
2017-11-23,71.2
2017-11-24,71.2
2017-11-25,71.2
2017-11-26,71.2
2017-11-27,71.2
2017-11-28,71.2
2017-11-29,71.2
2017-12-01,71.2
2017-12-02,71.2
2017-12-03,71.2
2017-12-04,71.2
2017-12-06,71.2
2017-12-07,71.2
2017-12-08,71.2
2017-12-09,71.2
2017-12-10,71.2
2017-12-11,71.2
2017-12-12,71.2
2017-12-13,71.2
2017-12-14,71.2
2017-12-15,71.2
2017-12-16,71.2
2017-12-17,71.2
2017-12-18,71.2
2017-12-19,71.2
2017-12-20,71.2
2017-12-21,71.2
2017-12-22,71.2
2017-12-23,71.2
2017-12-24,71.2
2017-12-25,71.2
2017-12-26,71.2
2017-12-27,71.2
2017-12-28,71.2
2017-12-29,71.2
2017-12-30,71.2
2017-12-31,71.2
2018-01-01,71.1
2018-01-02,71.1
2018-01-03,71.1
2018-01-04,71.1
2018-01-05,71.1
2018-01-06,71.1
2018-01-07,71.1
2018-01-08,71.1
2018-01-09,71.1
2018-01-10,71.1
