date,price
2017-05-23,8.0
2017-05-24,8.0
2017-05-25,8.0
2017-05-26,8.0
2017-05-27,8.0
2017-05-28,8.0
2017-05-29,8.0
2017-05-30,8.0
2017-05-31,8.0
2017-06-02,8.0
2017-06-03,8.0
2017-06-05,8.0
2017-06-06,8.0
2017-06-07,8.0
2017-06-08,8.0
2017-06-09,8.0
2017-06-10,8.0
2017-06-11,8.0
2017-06-12,8.0
2017-06-13,8.0
2017-06-14,8.0
2017-06-15,8.0
2017-06-16,8.0
2017-06-17,8.0
2017-06-18,8.0
2017-06-19,8.0
2017-06-20,8.0
2017-06-21,8.0
2017-06-22,8.0
2017-06-23,8.0
2017-06-24,8.0
2017-06-25,8.0
2017-06-26,8.0
2017-06-27,8.0
2017-06-28,8.0
2017-06-29,8.0
2017-06-30,8.0
2017-07-01,8.0
2017-07-02,8.0
2017-07-03,8.0
2017-07-04,8.0
2017-07-05,8.0
2017-07-06,8.0
2017-07-07,8.0
2017-07-08,8.0
2017-07-09,8.0
2017-07-10,8.0
2017-07-11,8.0
2017-07-12,8.0
2017-07-14,8.0
2017-07-15,8.0
2017-07-16,8.0
2017-07-17,8.0
2017-07-18,8.0
2017-07-19,8.0
2017-07-20,8.0
2017-07-21,8.0
2017-07-22,8.0
2017-07-23,8.0
2017-07-24,8.0
2017-07-25,8.0
2017-07-26,8.0
2017-07-29,8.0
2017-07-30,8.0
2017-07-31,8.0
2017-08-01,8.0
2017-08-02,8.0
2017-08-03,8.0
2017-08-04,8.0
2017-08-05,8.0
2017-08-18,8.0
2017-08-19,8.0
2017-08-20,8.0
2017-08-21,8.0
2017-10-10,12.7
2017-10-11,12.7
2017-10-12,12.7
2017-10-13,8.95
2017-10-14,8.95
2017-10-15,8.95
2017-10-16,8.95
2017-10-17,8.95
2017-10-18,8.95
2017-10-19,8.95
2017-10-20,8.95
2017-10-21,8.95
2017-10-22,8.95
2017-10-23,8.95
2017-10-24,8.95
2017-10-25,8.95
2017-10-26,8.95
2017-10-27,8.95
2017-10-28,8.95
2017-10-29,8.95
2017-10-30,8.95
2017-10-31,8.95
2017-11-01,8.95
2017-11-02,8.95
2017-11-03,8.95
2017-11-04,8.95
2017-11-05,8.95
2017-11-06,8.95
2017-11-07,8.95
2017-11-09,8.95
2017-11-10,8.95
2017-11-11,8.95
2017-11-12,8.95
2017-11-13,8.95
2017-11-14,8.95
2017-11-15,8.95
2017-11-17,8.95
2017-11-18,8.95
2017-11-19,8.95
2017-11-20,8.95
2017-11-21,8.95
2017-11-22,8.95
2017-11-23,8.95
2017-11-24,8.95
2017-11-25,8.95
2017-11-26,8.95
2017-11-27,8.95
2017-11-28,8.95
2017-11-29,8.95
2017-12-01,8.95
2017-12-02,8.95
2017-12-03,8.95
2017-12-04,8.95
2017-12-06,8.95
2017-12-07,8.95
2017-12-08,8.95
2017-12-09,9.9
2017-12-10,9.9
2017-12-11,9.9
2017-12-12,9.9
2017-12-13,9.9
2017-12-14,9.9
2017-12-15,9.9
2017-12-16,9.9
2017-12-17,9.9
2017-12-18,9.9
2017-12-19,9.9
2017-12-20,9.9
2017-12-21,9.9
2017-12-22,9.9
2017-12-23,9.9
2017-12-24,9.9
2017-12-25,9.9
2017-12-26,9.9
2017-12-27,9.9
2017-12-28,9.9
2017-12-29,9.9
2017-12-30,8.95
2017-12-31,8.95
2018-01-01,9.9
2018-01-02,9.9
2018-01-03,9.9
2018-01-04,9.9
2018-01-05,9.9
2018-01-06,9.9
2018-01-07,9.9
2018-01-08,9.9
2018-01-09,9.9
2018-01-10,9.9
2018-04-12,9.95
2018-04-13,9.95
2018-04-14,9.95
2018-04-15,9.95
2018-04-16,9.95
2018-04-17,9.95
2018-04-18,9.95
2018-04-19,9.95
2018-04-20,9.95
2018-04-21,9.95
2018-04-22,9.95
2018-04-23,9.95
2018-04-24,9.95
2018-04-25,9.95
2018-04-27,9.95
2018-04-28,9.95
2018-04-29,9.95
2018-04-30,9.95
2018-05-01,9.95
2018-05-02,9.95
2018-05-03,9.95
2018-05-04,9.95
2018-05-05,9.95
2018-05-06,9.95
2018-05-08,9.95
2018-05-09,9.95
2018-05-10,9.95
2018-05-11,9.95
2018-05-12,9.95
2018-05-13,9.95
2018-05-14,9.95
2018-05-15,9.95
2018-05-16,9.95
2018-05-17,9.95
2018-05-18,9.95
2018-05-19,9.95
2018-05-20,9.95
2018-05-21,9.95
2018-05-22,9.95
2018-05-23,9.95
2018-05-24,9.95
2018-05-25,9.95
2018-05-26,9.95
2018-05-27,9.95
2018-05-28,9.95
2018-05-29,9.95
2018-05-30,9.95
2018-05-31,9.95
2018-06-01,9.95
