date,price
2017-05-19,31.3
2017-05-20,31.3
2017-05-23,31.3
2017-05-24,31.3
2017-05-25,31.3
2017-05-26,31.3
2017-05-26,31.1
2017-05-27,31.1
2017-05-28,31.1
2017-05-29,31.1
2017-05-30,31.1
2017-05-31,31.1
2017-06-01,31.1
2017-06-02,31.1
2017-06-03,31.1
2017-06-05,31.1
2017-06-06,31.2
2017-06-07,31.2
2017-06-08,31.2
2017-06-09,31.2
2017-06-10,31.2
2017-06-11,31.2
2017-06-12,31.5
2017-06-13,31.5
2017-06-14,31.5
2017-06-15,31.5
2017-06-16,31.5
2017-06-17,31.5
2017-06-18,31.5
2017-06-19,31.5
2017-06-20,31.5
2017-06-21,31.7
2017-06-22,31.7
2017-06-23,31.7
2017-06-24,33.5
2017-06-25,33.5
2017-06-26,33.5
2017-06-27,33.5
2017-06-28,33.5
2017-06-29,33.5
2017-06-30,33.5
2017-07-01,33.5
2017-07-02,33.5
2017-07-03,33.5
2017-07-04,33.5
2017-07-05,33.5
2017-07-06,33.5
2017-07-07,41.6
2017-07-08,41.6
2017-07-09,41.6
2017-07-10,41.6
2017-07-11,41.6
2017-07-12,41.6
2017-07-13,41.6
2017-07-14,41.6
