date,price
2019-04-16,899.0
2019-04-17,899.0
2019-04-18,899.0
2019-04-19,899.0
2019-04-20,899.0
2019-04-21,899.0
2019-04-22,890.0
2019-04-23,886.0
2019-04-24,886.0
2019-04-25,899.0
2019-04-26,899.0
2019-04-27,899.0
2019-04-28,899.0
2019-04-29,899.0
2019-04-30,899.0
2019-05-01,899.0
2019-05-02,899.0
2019-05-03,899.0
2019-05-04,899.0
2019-05-05,899.0
2019-05-06,899.0
2019-05-07,899.0
2019-05-08,899.0
2019-05-09,899.0
2019-05-10,899.0
2019-05-11,899.0
2019-05-12,899.0
2019-05-13,899.0
2019-05-14,899.0
2019-05-15,899.0
2019-05-16,899.0
2019-05-17,899.0
2019-05-18,899.0
2019-05-19,899.0
2019-05-20,899.0
2019-05-21,899.0
2019-05-22,899.0
2019-05-23,899.0
2019-05-24,899.0
2019-05-25,899.0
2019-05-26,899.0
2019-05-27,899.0
2019-05-28,899.0
2019-05-29,899.0
2019-05-30,899.0
2019-05-31,899.0
2019-06-01,899.0
2019-06-02,899.0
2019-06-03,899.0
2019-06-04,899.0
2019-06-05,899.0
2019-06-06,899.0
2019-06-07,899.0
2019-06-08,899.0
2019-06-09,899.0
2019-06-10,899.0
2019-06-11,899.0
2019-06-12,899.0
2019-06-13,899.0
2019-06-14,899.0
2019-06-15,899.0
2019-06-16,899.0
2019-06-17,899.0
2019-06-18,859.0
2019-06-19,859.0
2019-06-20,859.0
2019-06-21,859.0
2019-06-22,859.0
2019-06-23,859.0
2019-06-24,859.0
2019-06-25,859.0
2019-06-26,859.0
2019-06-27,859.0
2019-06-28,799.0
2019-06-29,799.0
2019-06-30,859.0
2019-07-01,799.0
2019-07-02,799.0
2019-07-03,799.0
2019-07-04,799.0
2019-07-05,799.0
2019-07-06,799.0
2019-07-07,799.0
2019-07-08,799.0
2019-07-09,799.0
2019-07-10,799.0
2019-07-11,799.0
2019-07-12,799.0
2019-07-13,799.0
2019-07-14,799.0
2019-07-15,799.0
2019-07-16,799.0
2019-08-06,789.0
2019-08-07,789.0
2019-08-08,789.0
2019-08-09,789.0
2019-08-10,789.0
2019-08-11,789.0
2019-08-12,789.0
2019-08-13,789.0
2019-08-14,789.0
2019-08-15,789.0
2019-08-16,789.0
2019-08-17,789.0
2019-08-19,789.0
2019-08-20,789.0
2019-08-21,762.0
2019-08-22,762.0
2019-08-23,762.0
2019-08-24,757.0
2019-08-25,762.0
2019-08-26,762.0
2019-08-27,765.0
2019-08-28,765.0
2019-08-29,765.0
2019-08-30,765.0
2019-08-31,765.0
2019-09-01,765.0
2019-09-02,765.0
2019-09-03,765.0
2019-09-04,765.0
2019-09-05,765.0
2019-09-06,765.0
2019-09-07,765.0
2019-09-08,765.0
2019-09-09,765.0
2019-09-10,765.0
2019-09-11,765.0
2019-09-12,765.0
2019-09-13,765.0
2019-09-14,738.0
2019-09-15,738.0
2019-09-16,706.0
2019-09-17,789.0
2019-09-18,789.0
2019-09-19,789.0
2019-09-20,789.0
