date,price
2017-05-25,18.0
2017-05-26,18.0
2017-05-27,18.0
2017-05-28,18.0
2017-05-29,18.0
2017-05-30,18.0
2017-05-31,18.0
2017-06-02,18.0
2017-06-03,18.0
2017-06-05,18.0
2017-06-06,18.0
2017-06-07,18.0
2017-06-08,18.0
2017-06-09,18.0
2017-06-10,18.0
2017-06-11,18.0
2017-06-12,18.0
2017-06-13,18.0
2017-06-14,18.0
2017-06-15,18.0
2017-06-16,18.0
2017-06-17,18.0
2017-06-18,18.0
2017-06-19,18.0
2017-06-20,18.0
2017-06-21,18.0
2017-06-22,18.0
2017-06-23,18.0
2017-06-24,18.0
2017-06-25,18.0
2017-06-26,18.0
2017-06-27,18.0
2017-06-28,18.0
2017-06-29,18.0
2017-06-30,18.0
2017-07-01,18.0
2017-07-02,18.0
2017-07-03,18.0
2017-07-04,18.0
2017-07-05,18.0
2017-07-06,18.0
2017-07-07,18.0
2017-07-08,18.0
2017-07-09,18.0
2017-07-10,18.0
2017-07-11,18.0
2017-07-12,18.0
2017-07-14,18.0
2017-07-15,18.0
2017-07-16,18.0
2017-07-17,18.0
2017-07-18,18.0
2017-07-19,18.0
2017-07-20,18.0
2017-07-21,18.0
2017-07-22,18.0
2017-07-23,18.0
2017-07-24,18.0
2017-07-25,18.0
2017-07-26,18.0
2017-07-29,18.0
2017-07-30,18.0
2017-07-31,18.0
2017-08-01,18.0
2017-08-02,18.0
2017-08-03,18.0
2017-08-04,18.0
2017-08-05,18.0
2017-08-18,18.0
2017-08-19,18.0
2017-08-20,18.0
2017-08-21,18.0
2017-10-10,19.0
2017-10-11,19.0
2017-10-12,19.0
2017-10-13,19.0
2017-10-14,19.0
2017-10-15,19.0
2017-10-16,19.0
2017-10-17,19.0
2017-10-18,19.0
2017-10-19,19.0
2017-10-20,19.0
2017-10-21,19.0
2017-10-22,19.0
2017-10-23,19.0
2017-10-24,19.0
2017-10-25,19.0
2017-10-26,19.0
2017-10-27,19.0
2017-10-28,19.0
2017-10-29,19.0
2017-10-30,19.0
2017-10-31,19.0
2017-11-01,19.0
2017-11-02,19.0
2017-11-03,19.0
2017-11-04,19.0
2017-11-05,19.0
2017-11-06,19.0
2017-11-07,19.0
2017-11-09,19.0
2017-11-10,19.0
2017-11-11,19.0
2017-11-12,19.0
2017-11-13,19.0
2017-11-14,19.0
2017-11-15,19.0
2017-11-17,19.0
2017-11-18,19.0
2017-11-19,19.0
2017-11-20,19.0
2017-11-21,19.0
2017-11-22,19.0
2017-11-23,19.0
2017-11-24,19.0
2017-11-25,19.0
2017-11-26,19.0
2017-11-27,19.0
2017-11-28,19.0
2017-11-29,19.0
2017-12-01,19.0
2017-12-02,19.0
2017-12-03,19.0
2017-12-04,19.0
2017-12-06,19.0
2017-12-07,19.0
2017-12-08,19.0
2017-12-09,19.0
2017-12-10,19.0
2017-12-11,19.0
2017-12-12,19.0
2017-12-13,19.0
2017-12-14,19.0
2017-12-15,19.0
2017-12-16,19.0
2017-12-17,19.0
2017-12-18,19.0
2017-12-19,19.0
2017-12-20,19.0
2017-12-21,19.0
2017-12-22,19.0
2017-12-23,19.0
2017-12-24,19.0
2017-12-25,19.0
2017-12-26,19.0
2017-12-27,19.0
2017-12-28,19.0
2017-12-29,19.0
2017-12-30,19.0
2017-12-31,19.0
2018-01-01,19.0
2018-01-02,19.0
2018-01-03,19.0
2018-01-04,19.0
2018-01-05,19.0
2018-01-06,19.0
2018-01-07,19.0
2018-01-08,19.0
2018-01-09,19.0
2018-01-10,19.0
2018-04-12,20.4
2018-04-13,20.4
2018-04-14,20.4
2018-04-15,20.4
2018-04-16,20.4
2018-04-17,20.4
2018-04-18,20.4
2018-04-19,20.4
2018-04-20,20.4
2018-04-21,20.4
2018-04-22,20.4
2018-04-23,20.4
2018-04-24,20.4
2018-04-25,20.4
2018-04-27,20.4
2018-04-28,20.4
2018-04-29,20.4
2018-04-30,20.4
2018-05-01,20.4
2018-05-02,20.4
2018-05-03,20.4
2018-05-04,20.4
2018-05-05,20.4
2018-05-06,20.4
2018-05-08,20.4
2018-05-09,20.4
2018-05-10,20.4
2018-05-11,20.4
2018-05-12,20.4
2018-05-13,20.4
2018-05-14,20.4
2018-05-15,20.4
2018-05-16,20.4
2018-05-17,20.4
2018-05-18,20.4
2018-05-19,20.4
2018-05-20,20.4
2018-05-21,20.4
2018-05-22,20.4
2018-05-23,20.4
2018-05-24,21.5
2018-05-25,21.5
2018-05-26,21.5
2018-05-27,21.5
2018-05-28,21.5
2018-05-29,21.5
2018-05-30,21.5
2018-05-31,21.5
2018-06-01,21.5
2018-06-02,21.5
2018-06-03,21.5
2018-06-04,21.5
2018-06-05,21.5
2018-06-06,21.5
2018-06-07,21.5
2018-06-08,21.5
2018-06-09,21.5
2018-06-10,21.5
2018-06-12,21.5
2018-06-13,21.5
2018-06-14,21.5
2018-06-15,21.5
2018-06-16,21.5
2018-06-17,21.5
2018-06-18,21.5
2018-06-19,21.5
2018-06-20,21.5
2018-06-21,21.5
2018-06-22,21.5
2018-06-23,21.5
2018-06-24,21.5
2018-06-25,21.5
2018-06-26,21.5
2018-06-27,21.5
2018-06-28,21.5
2018-06-29,21.5
2018-07-01,21.5
2018-07-02,21.5
2018-07-03,21.5
2018-07-04,21.5
2018-07-05,21.5
2018-07-06,21.5
2018-07-07,21.5
2018-07-08,21.5
2018-07-09,21.5
