date,price
2019-04-16,779.0
2019-04-17,779.0
2019-04-18,779.0
2019-04-19,779.0
2019-04-20,779.0
2019-04-21,779.0
2019-04-22,779.0
2019-04-23,779.0
2019-04-24,779.0
2019-04-25,779.0
2019-04-26,779.0
2019-04-27,779.0
2019-04-28,779.0
2019-04-29,779.0
2019-04-30,779.0
2019-05-01,779.0
2019-05-02,779.0
2019-05-03,779.0
2019-05-04,710.0
2019-05-04,696.0
2019-05-05,706.0
2019-05-06,706.0
2019-05-07,698.0
2019-05-08,699.0
2019-05-09,709.0
2019-05-10,706.0
2019-05-11,706.0
2019-05-12,706.0
2019-05-13,706.0
2019-05-14,706.0
2019-05-15,699.0
2019-05-16,697.0
2019-05-17,699.0
2019-05-18,699.0
2019-05-19,699.0
2019-05-20,699.0
2019-05-21,697.0
2019-05-22,697.0
2019-05-23,697.0
2019-05-24,719.0
2019-05-25,719.0
2019-05-26,719.0
2019-05-27,719.0
2019-05-28,719.0
2019-05-29,719.0
2019-05-30,719.0
2019-05-31,719.0
2019-06-01,719.0
2019-06-02,719.0
2019-06-03,719.0
2019-06-04,719.0
2019-06-05,719.0
2019-06-06,719.0
2019-06-07,719.0
2019-06-08,719.0
2019-06-09,719.0
2019-06-10,719.0
2019-06-11,719.0
2019-06-12,719.0
2019-06-13,719.0
2019-06-14,719.0
2019-06-15,719.0
2019-06-16,719.0
2019-06-17,719.0
2019-06-18,719.0
2019-06-19,719.0
2019-06-20,719.0
2019-06-21,649.0
2019-06-22,651.0
2019-06-23,655.0
2019-06-24,779.0
2019-06-25,657.0
2019-06-26,657.0
2019-06-27,657.0
2019-06-28,648.0
2019-06-29,647.0
2019-06-30,657.0
2019-07-01,644.0
2019-07-02,635.0
2019-07-03,635.0
2019-07-04,645.0
2019-07-05,635.0
2019-07-06,687.0
2019-07-07,696.0
2019-07-08,696.0
2019-07-09,635.0
2019-07-10,696.0
2019-07-11,696.0
2019-07-12,779.0
2019-07-13,696.0
2019-07-14,779.0
2019-07-15,626.0
2019-07-16,626.0
2019-08-06,599.0
2019-08-07,599.0
2019-08-08,599.0
2019-08-09,599.0
2019-08-10,599.0
2019-08-11,599.0
2019-08-12,599.0
2019-08-13,599.0
2019-08-14,599.0
2019-08-15,599.0
2019-08-19,599.0
2019-08-20,599.0
2019-08-21,555.0
2019-08-22,555.0
2019-08-23,555.0
2019-08-24,599.0
2019-08-25,599.0
2019-08-26,599.0
